Nível,Código,Nome,Carga Horária
1º Nível,ECT2101,PRE-CALCULO,60h
1º Nível,ECT2102,VETORES E GEOMETRIA ANALÍTICA,60h
1º Nível,ECT2103,CÁLCULO I,60h
1º Nível,ECT2104,QUÍMICA GERAL,90h
1º Nível,ECT2105,PRÁTICAS DE LEITURA E ESCRITA I,30h
1º Nível,ECT2106,CIÊNCIA TECNOLOGIA E SOCIEDADE,30h
2º Nível,ECT2201,CÁLCULO II,60h
2º Nível,ECT2202,ALGEBRA LINEAR,60h
2º Nível,ECT2203,LÓGICA DE PROGRAMAÇÃO,75h
2º Nível,ECT2204,INTRODUÇÃO À FÍSICA CLÁSSICA I,60h
2º Nível,ECT2205,PRÁTICAS DE LEITURA E ESCRITA II,30h
2º Nível,ECT2206,"GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",60h
2º Nível,ECT2207,PROBABILIDADE E ESTATÍSTICA,60h
3º Nível,ECT2301,CÁLCULO III,60h
3º Nível,ECT2302,METODOLOGIA CIENTÍFICA E TECNOLÓGICA,30h
3º Nível,ECT2303,LINGUAGEM DE PROGRAMAÇÃO,90h
3º Nível,ECT2304,INTRODUÇÃO À FISICA CLÁSSICA II,60h
3º Nível,ECT2305,PRÁTICA DE LEITURA EM INGLÊS,30h
3º Nível,ECT2306,MEIO AMBIENTE E DESENVOLVIMENTO URBANO,60h
3º Nível,ECT2307,FÍSICA EXPERIMENTAL I,30h
4º Nível,ECT2401,COMPUTAÇÃO NUMÉRICA,75h
4º Nível,ECT2402,INTRODUÇÃO À FÍSICA CLÁSSICA III,60h
4º Nível,ECT2403,FÍSICA EXPERIMENTAL II,30h